signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG022,T2,JUP,GSE57065,4,-0.0007806630882321311,-0.031143918852177828,0.029582592675713566,0.0,0.0
SIG022,T2,JUP,GSE95233,4,-0.01425720484592711,-0.07104773701783035,0.04253332732597613,0.0005395100170701493,48.49745135471953
SIG022,T2,JUP,GSE54514,4,-0.027560572795652542,-0.07607288472800991,0.020951739136704832,0.0,0.0
SIG022,T2,JUP,GSE110487,4,-0.016298304778953273,-0.05880946893655681,0.02621285937865026,0.00034760603145755464,37.98578706750331
SIG022,T2,JUP,GSE8121,4,-0.009129160326041726,-0.06332744781471158,0.04506912716262814,0.0004334970580210952,39.53908897787017
SIG022,T2,LAX1,GSE57065,4,0.08870292150279485,-0.04762906313375523,0.22503490613934493,0.006340143059032065,86.39657290323196
SIG022,T2,LAX1,GSE95233,4,0.08484390850270893,-0.05098196864230192,0.22066978564771977,0.006323025620817898,85.81913104927227
SIG022,T2,LAX1,GSE54514,4,0.10262348430415359,-0.03299924319880433,0.23824621180711153,0.006520691098435941,86.7277135169298
SIG022,T2,LAX1,GSE110487,4,0.05081918433774154,-0.03398992369142242,0.1356282923669055,0.0015296135172543285,48.052896301644154
SIG022,T2,LAX1,GSE8121,4,0.11973781051096077,0.015054488415581532,0.22442113260634,0.003055852477993656,61.93810460736017
SIG022,T2,HK3,GSE57065,4,0.12523763665510057,-0.006816879078485133,0.2572921523886863,0.004960650438922782,76.15988554541173
SIG022,T2,HK3,GSE95233,4,0.11117824713234957,0.026908292527707878,0.19544820173699126,0.0017127401324471595,64.24233317518603
SIG022,T2,HK3,GSE54514,4,0.1462270597102111,0.053395558516891595,0.23905856090353061,0.0017667366209849198,59.78303267041289
SIG022,T2,HK3,GSE110487,4,0.12031170215531252,-0.01277289850619899,0.253396302816824,0.004923011558797486,72.08244438624588
SIG022,T2,HK3,GSE8121,4,0.14210506130168477,0.02428701657567167,0.25992310602769786,0.0033568120276261685,66.47078417922081
SIG022,T2,TNIP1,GSE57065,4,-0.031234018701803725,-0.06308185979725738,0.0006138223936499286,0.0,0.0
SIG022,T2,TNIP1,GSE95233,4,-0.02580931942917556,-0.05310622670022298,0.001487587841871866,0.0,0.0
SIG022,T2,TNIP1,GSE54514,4,-0.033799681036211865,-0.05687205600000152,-0.010727306072422216,0.0,0.0
SIG022,T2,TNIP1,GSE110487,4,-0.025155203330962654,-0.05562613831726382,0.005315731655338513,0.0,0.0
SIG022,T2,TNIP1,GSE8121,4,-0.028375667933645193,-0.0696204268827524,0.012869091015462016,0.0,0.0
SIG022,T2,GPAA1,GSE57065,4,0.028738285453721295,-0.09514658576997755,0.15262315667742013,0.0056770066412959175,94.01239055821313
SIG022,T2,GPAA1,GSE95233,4,0.02720565765350148,-0.09666100454042766,0.1510723198474306,0.0056663032347955495,93.65874828043899
SIG022,T2,GPAA1,GSE54514,4,0.05247751826212745,-0.03741751368761433,0.14237255021186923,0.00283145631289897,90.30582459512371
SIG022,T2,GPAA1,GSE110487,4,0.005590390004507972,-0.07009278618729309,0.08127356619630904,0.001926033142257315,85.86196646668454
SIG022,T2,GPAA1,GSE8121,4,0.04116669880585109,-0.07906353441210398,0.16139693202380617,0.005356754893771238,94.14200106844336
SIG022,T2,CTSB,GSE57065,4,0.04162504946904561,-0.03750403201894232,0.12075413095703355,0.0020022562286618507,82.34886852139205
SIG022,T2,CTSB,GSE95233,4,0.03893345359137508,-0.03564095290880072,0.11350786009155088,0.0017800710574410225,81.45864842005804
