dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE95233,T2,T48,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,31,-0.9480705065841221,-0.7975873315649592,0.2200064355692826,-1.381043703377811,-0.5505178931273637,0.3225806451612903,-0.9648490879106612,0.23345477609705312,1.6378294532399668e-05,0.00022383669194279545
GSE95233,T2,T48,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,31,-0.2986624886794397,-0.24855793446278301,0.1500233427160337,-0.5882612785754396,-0.024499356624989234,0.3548387096774194,-0.3176074824235332,0.148349604212411,0.046505798669649344,0.11917110909097645
GSE95233,T2,T48,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,31,-0.24534977377993014,-0.18200495498371355,0.19042080836594966,-0.6138716537880965,0.12291069525929077,0.41935483870967744,-0.23633372193982816,0.18800492967441954,0.1975855571844033,0.3115772247907898
GSE95233,T2,T48,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,31,0.18169445619532404,0.0020344745259726683,0.2544889207100417,-0.28634278346124903,0.6874602268752246,0.5161290322580645,0.22816764376136967,0.254054930231826,0.4752530163606664,0.590465868811737
GSE95233,T2,T48,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,31,0.5403305258323886,0.7148351962820442,0.24429711633246573,0.06041005115262883,0.9771668925146869,0.6129032258064516,0.5504500958271837,0.2378710188840526,0.026982138539940245,0.08425149525530755
GSE95233,T2,T48,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,31,-0.24207487153532173,-0.11327223743840159,0.2554002641875972,-0.7589199498720804,0.23289724205321125,0.41935483870967744,-0.22426960020383005,0.25162384653724296,0.34321831967091376,0.4539339066615311
GSE95233,T2,T48,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,31,0.10212091604533706,0.10521848497346074,0.2044324705879723,-0.289702285092494,0.5099834187980113,0.5161290322580645,0.2919601849670553,0.20141412647998352,0.6174034256169747,0.7031539013971101
GSE95233,T2,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,31,-0.2280036781802218,-0.18206557169683452,0.2798103670070513,-0.7708421285134018,0.2775588701649136,0.45161290322580644,-0.19857119983118085,0.2681762802929204,0.41515776601227805,0.5337742705872147
GSE95233,T2,T48,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,31,-0.411592758723376,-0.7267385317512393,0.2368469292942749,-0.8557320818997816,0.0458702766644574,0.3548387096774194,-0.32730584824640985,0.2331432582741063,0.08224593789117861,0.1532765206153783
GSE95233,T2,T48,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,31,0.3851741690864583,0.04814103481559707,0.21124699868372082,-0.011663866388292692,0.7956521644256311,0.5483870967741935,0.5087798249263745,0.222549891376217,0.06825258045850528,0.14582998412350542
GSE95233,T2,T48,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,31,0.24385961146999927,0.25909593677816944,0.2041526191544772,-0.14355471114576426,0.6283062974836034,0.6129032258064516,0.09381898021365848,0.2055803803614733,0.2322837660574928,0.35272720030952603
