signature_id,time_window,factor,level,cohort_n,patient_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent,analysis_status,interaction_p
SIG023,T2,sample_group,WHOLE_BLOOD,5,146.0,-0.052610527090989775,-0.273910702598893,0.16868964841691347,0.015181132669466297,44.117593692496605,FORMAL_SUBGROUP_META,
SIG023,T2,sample_group,PBL,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T2,clinical_group,SEPTIC_SHOCK,4,118.0,-0.03900968862509426,-0.34440004851564476,0.2663806712654563,0.020553213554163997,56.48859107092318,FORMAL_SUBGROUP_META,
SIG023,T2,clinical_group,BROADER_SEPSIS,1,28.0,-0.14780333166766055,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T2,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T2,case_grade,S2,5,146.0,-0.052610527090989775,-0.273910702598893,0.16868964841691347,0.015181132669466297,44.117593692496605,FORMAL_SUBGROUP_META,
SIG033,T1,platform_class,MICROARRAY,4,172.0,-0.1622184933545452,-0.35770947772563233,0.03327249101654192,0.0,2.6827668560794025,FORMAL_SUBGROUP_META,
SIG033,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG033,T1,platform,AFFYMETRIX,2,48.0,-0.12471938742150995,-1.2286983191767342,0.9792595443337142,0.0,0.0,FORMAL_SUBGROUP_META,
SIG033,T1,platform,AGILENT,1,93.0,-0.14503159437044655,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T1,platform,ILLUMINA,1,31.0,-0.526196626869978,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG033,T1,age_group,ADULT,4,172.0,-0.1622184933545452,-0.35770947772563233,0.03327249101654192,0.0,2.6827668560794025,FORMAL_SUBGROUP_META,
SIG033,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG033,T1,sample_group,WHOLE_BLOOD,3,79.0,-0.225515616169988,-0.7703256077145677,0.31929437537459177,0.017653210726823635,32.297130930897815,FORMAL_SUBGROUP_META,
SIG033,T1,sample_group,PBL,1,93.0,-0.14503159437044655,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T1,clinical_group,SEPTIC_SHOCK,2,48.0,-0.12471938742150995,-1.2286983191767342,0.9792595443337142,0.0,0.0,FORMAL_SUBGROUP_META,
SIG033,T1,clinical_group,BROADER_SEPSIS,2,124.0,-0.26609483077364443,-2.520820267538337,1.9886306059910481,0.0401762594364593,55.306146095659514,FORMAL_SUBGROUP_META,
SIG033,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,0.14137544335213448,-0.245880943041635,0.528631829745904,,,FORMAL_INTERACTION,0.47427793081638503
SIG033,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG033,T1,case_grade,S2,4,172.0,-0.1622184933545452,-0.35770947772563233,0.03327249101654192,0.0,2.6827668560794025,FORMAL_SUBGROUP_META,
SIG033,T2,platform_class,MICROARRAY,4,115.0,-0.19229677965486489,-0.38339647924460185,-0.0011970800651279478,0.0,0.0,FORMAL_SUBGROUP_META,
SIG033,T2,platform_class,RNASEQ,1,31.0,0.1763836941232022,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T2,platform,AFFYMETRIX,3,87.0,-0.15698996530107592,-0.36799349060524833,0.054013560003096484,0.0,0.0,FORMAL_SUBGROUP_META,
SIG033,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG033,T2,platform,ILLUMINA,1,28.0,-0.3836645874501777,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T2,platform,RNASEQ,1,31.0,0.1763836941232022,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG033,T2,age_group,ADULT,4,116.0,-0.13732312336588387,-0.5066435049194555,0.2319972581876878,0.019058495036819573,37.81255610202005,FORMAL_SUBGROUP_META,
