signature_id,time_window,analysis_set,omitted_dataset,cohort_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent
SIG003,T2,PRIMARY_INDEPENDENT,GSE57065,3,-0.9751852615875118,-1.6172708116737122,-0.33309971150131157,0.032607507816131254,23.417491758884502
SIG003,T2,PRIMARY_INDEPENDENT,GSE8121,3,-0.8766900909834461,-1.3630726794666712,-0.3903075025002209,0.0,5.890452403920028
SIG003,T2,PRIMARY_INDEPENDENT,GSE95233,3,-0.8291035728266406,-1.1715236797396884,-0.48668346591359285,0.0,0.0
SIG003,T2,STRICT_NEVER_USED,GSE110487,3,-1.0253146581116914,-1.6066884103636028,-0.4439409058597802,0.0,0.0
SIG003,T2,STRICT_NEVER_USED,GSE57065,3,-0.9751852615875118,-1.6172708116737122,-0.33309971150131157,0.032607507816131254,23.417491758884502
SIG003,T2,STRICT_NEVER_USED,GSE8121,3,-0.8766900909834461,-1.3630726794666712,-0.3903075025002209,0.0,5.890452403920028
SIG003,T2,STRICT_NEVER_USED,GSE95233,3,-0.8291035728266406,-1.1715236797396884,-0.48668346591359285,0.0,0.0
SIG004,T1,ALL_COHORTS,GSE236713,3,0.001826759117968446,-0.5988345629458077,0.6024880811817447,0.012283676002040717,28.307081904417906
SIG004,T1,ALL_COHORTS,GSE54514,3,0.026963430801954576,-0.37755597305518745,0.4314828346590966,0.00869776584721682,23.650880253571568
SIG004,T1,ALL_COHORTS,GSE57065,3,0.1014056063974066,-0.27939493614256034,0.4822061489373735,0.0,32.19775546838696
SIG004,T1,ALL_COHORTS,GSE95233,3,0.1112145346845858,-0.12922506266835876,0.3516541320375304,0.0,0.0
SIG004,T1,PRIMARY_INDEPENDENT,GSE236713,2,-0.11162681294252227,-1.405851193099965,1.1825975672149207,0.0,0.0
SIG004,T1,PRIMARY_INDEPENDENT,GSE57065,2,-0.00034822075732532045,-2.197811888626046,2.1971154471113956,0.03774558115991408,55.702455700978184
SIG004,T1,PRIMARY_INDEPENDENT,GSE95233,2,0.09177639898200052,-0.6783383520779686,0.8618911500419696,0.0,0.0
SIG004,T1,STRICT_NEVER_USED,GSE236713,2,-0.11162681294252227,-1.405851193099965,1.1825975672149207,0.0,0.0
SIG004,T1,STRICT_NEVER_USED,GSE57065,2,-0.00034822075732532045,-2.197811888626046,2.1971154471113956,0.03774558115991408,55.702455700978184
SIG004,T1,STRICT_NEVER_USED,GSE95233,2,0.09177639898200052,-0.6783383520779686,0.8618911500419696,0.0,0.0
SIG004,T2,ALL_COHORTS,GSE110487,4,0.4926036296597003,0.2851461947953903,0.7000610645240103,0.0,0.0
SIG004,T2,ALL_COHORTS,GSE54514,4,0.6972451968898257,0.33211783001508327,1.062372563764568,0.02560204007661412,31.161914648730605
SIG004,T2,ALL_COHORTS,GSE57065,4,0.662748326653133,0.23547654010367974,1.0900201132025862,0.04071183357505396,46.28635236150711
SIG004,T2,ALL_COHORTS,GSE8121,4,0.6408358067840279,0.21006537863417069,1.071606234933885,0.0436070850926662,53.17112490053552
SIG004,T2,ALL_COHORTS,GSE95233,4,0.6107489161970664,0.16724776562327542,1.0542500667708574,0.050290496528229284,55.885089170485514
SIG004,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,0.5974385183243648,-0.28642404160234103,1.4813010782510707,0.0,0.0
SIG004,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,0.8673759215241523,-0.6140632990215364,2.3488151420698413,0.0,0.0
SIG004,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,0.7970377716304079,-1.6743537673741655,3.2684293106349815,0.037934919417409355,44.043846098818996
SIG004,T2,PRIMARY_INDEPENDENT,GSE110487,3,0.5442225642719501,0.2963867270861594,0.792058401457741,0.0,0.0
SIG004,T2,PRIMARY_INDEPENDENT,GSE57065,3,0.7838940516375833,0.256483673139275,1.3113044301358916,0.013821070774531981,13.464851411325258
SIG004,T2,PRIMARY_INDEPENDENT,GSE8121,3,0.7281027411490882,0.12351125048984257,1.332694231808334,0.0317049202657476,44.589800665988605
SIG004,T2,PRIMARY_INDEPENDENT,GSE95233,3,0.6907382926900558,0.020812460937081445,1.3606641244430302,0.044934695808838236,52.455521748059255
SIG004,T2,STRICT_NEVER_USED,GSE110487,3,0.5442225642719501,0.2963867270861594,0.792058401457741,0.0,0.0
SIG004,T2,STRICT_NEVER_USED,GSE57065,3,0.7838940516375833,0.256483673139275,1.3113044301358916,0.013821070774531981,13.464851411325258
SIG004,T2,STRICT_NEVER_USED,GSE8121,3,0.7281027411490882,0.12351125048984257,1.332694231808334,0.0317049202657476,44.589800665988605
SIG004,T2,STRICT_NEVER_USED,GSE95233,3,0.6907382926900558,0.020812460937081445,1.3606641244430302,0.044934695808838236,52.455521748059255
SIG022,T1,ALL_COHORTS,GSE236713,3,-0.09115187635852433,-0.6192537361031798,0.43694998338613117,0.023239816210479533,56.0495363700899
SIG022,T1,ALL_COHORTS,GSE54514,3,-0.09511816379055256,-0.44700149708491965,0.25676516950381456,0.010502398248253424,53.08929628571952
SIG022,T1,ALL_COHORTS,GSE57065,3,-0.04399448054592439,-0.5720594202295873,0.4840704591377386,0.027032964144540334,64.10193768553079
SIG022,T1,ALL_COHORTS,GSE95233,3,-0.0032732179533280226,-0.2185368745727349,0.21199043866607886,0.0,0.0
SIG022,T1,PRIMARY_INDEPENDENT,GSE236713,3,-0.09115187635852433,-0.6192537361031798,0.43694998338613117,0.023239816210479533,56.0495363700899
SIG022,T1,PRIMARY_INDEPENDENT,GSE54514,3,-0.09511816379055256,-0.44700149708491965,0.25676516950381456,0.010502398248253424,53.08929628571952
SIG022,T1,PRIMARY_INDEPENDENT,GSE57065,3,-0.04399448054592439,-0.5720594202295873,0.4840704591377386,0.027032964144540334,64.10193768553079
SIG022,T1,PRIMARY_INDEPENDENT,GSE95233,3,-0.0032732179533280226,-0.2185368745727349,0.21199043866607886,0.0,0.0
SIG022,T1,STRICT_NEVER_USED,GSE236713,3,-0.09115187635852433,-0.6192537361031798,0.43694998338613117,0.023239816210479533,56.0495363700899
SIG022,T1,STRICT_NEVER_USED,GSE54514,3,-0.09511816379055256,-0.44700149708491965,0.25676516950381456,0.010502398248253424,53.08929628571952
SIG022,T1,STRICT_NEVER_USED,GSE57065,3,-0.04399448054592439,-0.5720594202295873,0.4840704591377386,0.027032964144540334,64.10193768553079
SIG022,T1,STRICT_NEVER_USED,GSE95233,3,-0.0032732179533280226,-0.2185368745727349,0.21199043866607886,0.0,0.0
SIG022,T2,ALL_COHORTS,GSE110487,4,0.00420768674408206,-0.17037335144412488,0.178788724932289,0.0,0.0
SIG022,T2,ALL_COHORTS,GSE54514,4,0.16333793264027371,-0.29958623253651606,0.6262620978170634,0.0733851839391182,86.21811821178088
SIG022,T2,ALL_COHORTS,GSE57065,4,0.15597262608617768,-0.32238367169068877,0.6343289238630441,0.07841106521468606,86.26058645725074
SIG022,T2,ALL_COHORTS,GSE8121,4,0.20917258424762242,-0.20453956150323077,0.6228847299984757,0.053155782273282916,77.58786687033343
