signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p
SIG002,T1,ALL_COHORTS,4,172,-0.0772169613521047,0.0236766028894905,-0.1525664787394467,-0.0018674439647628,0.0,0.0,-0.1790891614045029,0.0246552387002933,1.0,0.0470846101889756,GSE236713;GSE54514;GSE57065;GSE95233,
SIG002,T1,PILOT_ONLY,2,59,-0.1512539487815381,3.028824675511787e-06,-0.1512924336479759,-0.1512154639151003,0.0,0.0,,,1.0,1.274816089590416e-05,GSE54514;GSE57065,
SIG002,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,-0.0632058740204375,0.0276831373986251,-0.4149534855541493,0.2885417375132741,0.0,0.0,,,1.0,0.2628070136578634,GSE236713;GSE95233,
SIG002,T1,PRIMARY_INDEPENDENT,3,141,-0.0708756857062915,0.0256520967478387,-0.1812477498008094,0.0394963783882262,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.1098311159036037,GSE236713;GSE57065;GSE95233,0.2196622318072074
SIG002,T1,STRICT_NEVER_USED,3,141,-0.0708756857062915,0.0256520967478387,-0.1812477498008094,0.0394963783882262,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.1098311159036037,GSE236713;GSE57065;GSE95233,
SIG002,T2,ALL_COHORTS,5,146,-0.5981934849391153,0.1283728781874678,-0.9546137342228636,-0.2417732356553669,0.0342160361285285,49.06564070595544,-1.3147432461676165,0.1183562762893859,1.0,0.0095909070510123,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG002,T2,PILOT_ONLY,2,54,-0.4375702250458325,0.3522411344524797,-4.913218195992145,4.0380777459004795,0.200140005493249,80.63983999761943,,,1.0,0.4314870533373395,GSE54514;GSE57065,
SIG002,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,-0.6663081670834609,0.0852016109118841,-1.032901110847988,-0.2997152233189337,0.0,0.0,-1.748897279203688,0.4162809450367665,1.0,0.0159606288390921,GSE110487;GSE8121;GSE95233,
SIG002,T2,PRIMARY_INDEPENDENT,4,118,-0.6885895701194436,0.0681960680990167,-0.9056198950760734,-0.4715592451628136,0.0,0.0,-0.982013568680222,-0.3951655715586651,1.0,0.0020689079093603,GSE110487;GSE57065;GSE8121;GSE95233,0.0144823553655225
SIG002,T2,STRICT_NEVER_USED,4,118,-0.6885895701194436,0.0681960680990167,-0.9056198950760734,-0.4715592451628136,0.0,0.0,-0.982013568680222,-0.3951655715586651,1.0,0.0020689079093603,GSE110487;GSE57065;GSE8121;GSE95233,
SIG002,T3,ALL_COHORTS,1,18,0.2041755603494993,,,,,,,,1.0,,GSE54514,
SIG002,T3,PILOT_ONLY,1,18,0.2041755603494993,,,,,,,,1.0,,GSE54514,
SIG002,T4,ALL_COHORTS,2,82,-0.152185925451211,0.0425100778083836,-0.6923276774461924,0.3879558265437702,0.0,0.0,,,1.0,0.1734070786490872,GSE236713;GSE54514,
SIG002,T4,PILOT_ONLY,1,14,-0.2715841690750945,,,,,,,,1.0,,GSE54514,
SIG002,T4,PRESPECIFIED_VALIDATION_ONLY,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,
